time stamp,001BC50C70027DC4,001BC50C70027DD9,001BC50C70027DDA,001BC50C70027DF5,001BC50C70027E14,001BC50C70027E75,001BC50C70027E81,001BC50C70027E9B
2025-12-19T16:25:48.000Z,485.20614175832526,0.0,0.0,,884.491379268334,0.0,424.5291509425472,1003.0274173720278
2025-12-19T16:25:52.000Z,485.20614175832526,0.0,861.9999999999999,,883.4908035740948,901.0,431.5367886982522,973.8793559779361
2025-12-19T16:26:20.000Z,474.78942700949017,0.0,952.9999999999999,117.11532777565881,855.4741375401129,939.0,431.5367886982522,1004.0323699961073
2025-12-19T16:26:24.000Z,428.7201884679563,1411.265035349491,884.0,124.89995996796799,955.5291727624018,917.0,435.5410428421184,1009.056985506765
2025-12-19T16:26:28.000Z,399.160368774256,1393.2426206515504,0.0,160.37767924496228,875.4861506614482,927.0,455.5611923770504,972.8740925731345
2025-12-19T16:26:28.000Z,395.9797974644666,1386.233746523291,1107.0,165.07271125173898,839.4641147779934,939.0,472.57697785651817,935.6714166842974
2025-12-19T16:26:32.000Z,328.4037149607172,0.0,999.0,223.66269246345044,839.4641147779934,1029.0,539.6295025292817,926.6196630764966
2025-12-19T16:26:32.000Z,201.05969262883104,0.0,1089.0,326.00766862146054,854.4735221175669,1118.0,629.6824596572466,807.8341413928977
2025-12-19T16:26:32.000Z,114.72140166507731,1871.6914809871846,1509.0,375.9268545874317,860.4771931899184,1197.0,693.7117557026118,711.0021097015114
2025-12-19T16:26:32.000Z,73.23933369440226,0.0,0.0,470.490169929192,864.4796122523654,1300.0,788.7464738431481,640.2374559489627
2025-12-19T16:26:36.000Z,111.53923076657829,0.0,1438.0,472.5346548138031,978.5402393361245,1290.0,774.7418925035615,639.2253123899271
2025-12-19T16:26:36.000Z,91.04394543296111,1601.4708864041206,1285.0,442.849861691296,848.4697991089606,1244.0,717.721394414295,631.126770150023
2025-12-19T16:26:36.000Z,194.93588689617926,1548.4185480676729,1311.0,423.3497372149887,784.4265421312565,1272.0,691.7109222789531,659.4611436620054
2025-12-19T16:26:36.000Z,260.7987730032486,1785.6284607946861,1258.0,436.6966910797471,711.3676967644792,1181.0,628.6819545684448,676.650574521296
2025-12-19T16:26:40.000Z,330.57676869374836,0.0,0.0,413.0677910464576,665.3239812301973,1156.0,551.6375621728455,721.0991610035336
2025-12-19T16:26:40.000Z,321.871092209288,1486.3525826667103,1256.0,390.39595284787475,661.3198923365303,1126.0,545.6335766794416,733.2121111929345
2025-12-19T16:26:44.000Z,405.51325502380314,0.0,1119.0,383.16576047449746,654.31261641512,1035.0,483.5866003106372,792.7174780462457
2025-12-19T16:26:44.000Z,447.61702380494876,1246.0353125012148,1010.0,295.540183393054,727.3816054864187,938.0000000000001,404.5058714036176,861.2136784793888
2025-12-19T16:26:48.000Z,464.35439052516773,0.0,967.0,222.5668438918969,768.4146016311768,894.0,376.46912223979274,919.5787078874761
2025-12-19T16:26:48.000Z,436.07797467884114,0.0,0.0,147.25488107359973,894.4970653948508,890.0,448.55434453363625,942.7109843424972
2025-12-19T16:26:48.000Z,461.2201209834628,1358.197334705086,876.0,84.62269199216013,869.4826047713661,915.0,410.51309357924265,1122.5546757285367
2025-12-19T16:26:48.000Z,546.347874526844,0.0,915.0,,895.4976270208649,931.0,437.54314073014564,993.9823942102798
2025-12-19T16:26:52.000Z,524.6417825526289,1456.3186464507003,1062.0,,881.489648265934,944.9999999999999,427.53245490839646,1084.3989118401034
2025-12-19T16:26:56.000Z,489.3679597194732,0.0,885.0,,891.4953729549021,894.0,444.5503346079047,1062.3036289121862
2025-12-19T16:27:00.000Z,489.3679597194732,0.0,1040.0,,882.4902265747763,893.0,425.5302574435806,975.889850341728
2025-12-19T16:27:00.000Z,485.20614175832526,0.0,883.0,78.28793010419933,897.4987465172306,900.0,453.55925742950063,982.926243418091
2025-12-19T16:27:04.000Z,538.0854950656075,0.0,0.0,,880.4890686431037,982.0,429.5346318982906,1066.3212461542723
2025-12-19T16:27:04.000Z,512.2118702255932,0.0,886.9999999999999,,882.4902265747763,923.0,476.58052834751857,1066.3212461542723
2025-12-19T16:27:12.000Z,531.8834458788881,0.0,919.0,138.71193171461493,890.494806273456,944.0,429.5346318982906,1018.1006826439121
2025-12-19T16:27:12.000Z,433.9769579136662,0.0,951.0,131.24404748406687,852.4722869395813,899.0,432.5378596146238,950.7554890717172
2025-12-19T16:27:12.000Z,435.02758533224073,0.0,0.0,212.6617031813674,836.4621928096929,889.0,447.55334877531646,1071.3430823037036
2025-12-19T16:27:16.000Z,421.35021063243823,0.0,933.0,158.01582199260935,843.4666561281483,893.0,435.5410428421184,991.9722778384486
2025-12-19T16:27:16.000Z,420.29632403817186,1390.2388284032352,1031.0,155.6438241627338,853.4729052524161,903.9999999999999,439.54521951671825,915.555022923254
2025-12-19T16:27:20.000Z,443.4241761564203,1286.0964194025269,0.0,193.7111251322443,827.4563432592682,944.0,424.5291509425472,903.4827059772643
2025-12-19T16:27:28.000Z,443.4241761564203,1279.0860017997225,998.0,189.1983086605163,798.4365973576112,981.0,428.53354594477196,914.5490692138941
2025-12-19T16:27:32.000Z,436.07797467884114,1424.2808711767493,882.0,189.1983086605163,801.4387063275643,952.0,410.51309357924265,918.5728060420688
2025-12-19T16:27:32.000Z,469.5742752749559,0.0,994.9999999999999,188.06647760831805,812.4463059181204,899.0,452.55828353925864,926.6196630764966
2025-12-19T16:27:36.000Z,443.4241761564203,0.0,1044.0,184.66185312619388,857.4753640775926,905.0000000000001,470.57517996596465,1012.0716377806465
2025-12-19T16:27:36.000Z,494.56647682591665,0.0,953.9999999999999,113.14150432091665,871.4837921613919,925.0,423.5280392134623,991.9722778384486
2025-12-19T16:27:36.000Z,544.2830146164769,0.0,897.0000000000001,144.83093592185338,919.5107394696377,930.0000000000001,421.52579992214,1092.4326066169942
2025-12-19T16:27:40.000Z,501.83762314119093,0.0,936.9999999999999,114.47270417003348,884.491379268334,906.0,415.51895263633884,1161.7039209712602
2025-12-19T16:27:40.000Z,468.53068202626804,0.0,949.0,142.39382009062052,862.4784055267703,898.0,428.53354594477196,991.9722778384486
2025-12-19T16:27:40.000Z,439.2277313649492,1342.1758454092367,936.0,167.40669042783205,852.4722869395813,898.0,429.5346318982906,1033.1718153337324
2025-12-19T16:27:40.000Z,428.7201884679563,0.0,1048.0,202.6721490486544,828.4569994876016,922.0000000000001,437.54314073014564,920.5845968730955
2025-12-19T16:27:44.000Z,467.4868982121317,1252.0447276355585,0.0,278.5964823898536,735.3883327875144,891.0,375.4677083318884,960.8100748847297
2025-12-19T16:27:44.000Z,484.1652610421363,0.0,951.0,468.44530096906726,652.3105088836144,1019.0,372.4634210227899,872.2866501328563
2025-12-19T16:27:44.000Z,574.1785436604193,1183.9324305043763,0.0,467.42272088549566,542.1706373458452,988.0000000000001,464.5696933722647,854.1662601625048
2025-12-19T16:27:44.000Z,649.0731853959151,1137.848847606746,0.0,524.5531431609195,495.0919106590209,934.0,380.4747034955149,1005.0373127401788
2025-12-19T16:27:48.000Z,730.7092445015322,1190.9445830936047,713.0,563.1909090175374,497.09556425299155,864.0,339.4112549695428,1041.2089127547845
2025-12-19T16:27:48.000Z,841.4327067567556,953.433794240586,622.0,580.4489641648092,568.208588460259,780.0,289.30952282978865,1110.506641132776
2025-12-19T16:27:48.000Z,903.214260294865,0.0,370.0,625.0511979030198,649.307323229917,678.0,251.20509548972132,1240.9774373452565
2025-12-19T16:27:48.000Z,1001.2597065696791,733.6681811282264,0.0,650.3568251352483,747.398153596863,580.0,253.2113741521103,1366.3454907160194
2025-12-19T16:27:53.000Z,1072.9044691863298,662.3111051462146,221.0,727.1561042857304,849.4704232638121,488.99999999999994,315.36645351083246,1520.7156210153166
2025-12-19T16:27:53.000Z,1148.4985851101428,578.7823425088226,264.0,792.7174780462457,923.5128586002471,400.0,390.48815603037184,1492.65401215419
2025-12-19T16:27:53.000Z,1147.4911764366643,685.4348984403989,302.0,768.5213074469699,954.5286795062786,386.0,380.4747034955149,1525.7263843822063
2025-12-19T16:27:56.000Z,1189.7915783867359,582.8112902132216,305.0,760.4531543757314,971.5369267300136,353.0,389.48684188300894,1553.7853777146959
2025-12-19T16:28:00.000Z,1145.4763201393557,685.4348984403989,339.0,822.9465353229212,980.5411771057859,333.0,388.48552096571115,1575.8302573564197
2025-12-19T16:28:04.000Z,0.0,0.0,302.0,755.4098225466756,981.5416445571732,418.0,428.53354594477196,1527.7306699808053
2025-12-19T16:28:04.000Z,1173.6796837297645,617.0421379452135,326.0,738.2580849540357,994.5476358626568,333.0,397.49716980124526,1577.8342752012964
